,YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,COOP_ID,type,COOP_NAME,DIV,LATITUDE,LONGITUDE
0,1966,38.29,42.33,48.13,57.52,64.4,64.77,70.23,75.16,67.3,58.0,47.87,42.13,57.64,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
1,1967,39.7,45.12,45.5,44.1,60.74,68.47,75.9,77.66,71.48,57.37,51.82,34.6,70.18,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
2,1968,37.07,47.96,48.62,,58.58,67.92,75.92,70.52,68.95,57.45,44.73,37.63,60.21,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
3,1969,36.94,40.71,46.44,52.65,64.53,68.7,74.35,72.6,69.97,54.28,48.15,43.06,57.21,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
4,1970,42.75,47.15,49.0,48.63,61.53,70.8,76.71,74.5,65.97,56.77,47.27,36.48,59.85,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
5,1971,38.4,42.18,44.23,49.45,58.87,64.38,74.23,75.45,65.53,54.4,43.28,34.4,53.73,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
6,1972,36.74,43.38,50.45,50.59,62.05,68.95,75.92,72.9,64.1,56.4,45.59,33.67,55.06,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
7,1973,37.98,44.98,45.08,54.07,63.58,68.43,74.34,72.5,66.37,55.95,41.88,42.07,56.92,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
8,1974,41.4,42.23,48.07,49.12,58.54,70.5,72.27,73.58,72.86,58.37,48.5,42.72,64.05,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
9,1975,40.12,40.92,43.92,48.57,60.84,68.03,73.32,72.32,72.25,55.3,44.6,42.15,59.71,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
10,1976,40.76,42.84,47.45,50.95,62.66,65.82,74.48,69.71,69.57,61.85,53.3,39.71,58.25,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
11,1977,38.69,46.83,45.15,56.1,54.15,73.07,74.24,77.69,67.38,,45.5,44.13,58.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
12,1978,45.0,46.22,53.44,50.98,59.15,68.82,75.58,73.27,64.67,61.64,43.9,37.61,56.69,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
13,1979,38.85,42.41,49.65,52.0,62.44,68.63,75.0,71.44,70.52,60.39,45.97,43.07,57.94,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
14,1980,42.41,47.27,47.81,55.78,59.23,63.17,75.52,73.63,68.62,60.61,47.47,43.1,60.79,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
15,1981,44.84,46.41,48.27,55.38,59.52,68.7,75.0,75.37,69.6,56.09,50.98,45.74,59.11,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
16,1982,39.28,45.75,47.04,51.0,64.15,69.77,72.93,73.93,65.72,57.84,46.71,41.57,70.59,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
17,1983,43.92,45.38,49.42,52.19,63.71,66.62,69.18,73.94,68.34,60.23,46.59,43.65,68.04,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
18,1984,45.12,44.97,52.62,49.54,62.25,66.69,77.02,74.18,68.87,56.26,46.18,42.05,71.69,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
19,1985,42.57,46.46,46.7,58.07,62.36,72.52,78.37,72.85,65.78,59.1,44.61,40.9,72.38,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
20,1986,46.96,49.32,57.43,55.71,63.93,73.18,73.22,78.77,64.43,59.93,50.28,44.04,72.4,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
21,1987,42.63,46.18,50.29,62.59,64.72,72.72,70.5,76.25,69.19,65.55,51.88,41.39,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
22,1988,41.63,46.96,51.97,58.3,58.5,67.71,75.33,76.25,70.81,64.96,49.8,44.23,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
23,1989,41.76,42.63,50.17,60.58,60.3,70.32,71.89,71.54,67.5,54.57,46.27,40.79,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
24,1990,42.88,42.29,52.6,61.26,59.72,,76.95,74.24,68.5,59.98,44.52,36.15,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
25,1991,39.33,49.97,42.98,51.82,57.73,,76.22,73.14,71.75,57.64,46.84,38.64,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
26,1992,40.31,50.68,55.11,58.52,68.88,73.5,74.52,77.12,70.0,60.08,47.88,37.97,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
27,1993,40.08,44.23,54.35,54.11,61.98,65.48,69.43,73.05,69.68,60.62,46.33,38.65,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
28,1994,44.85,41.55,53.75,,63.81,,,74.31,71.89,,45.56,41.23,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
29,1995,45.0,51.65,47.45,,,71.36,73.77,74.12,72.53,56.93,53.13,45.98,52.01,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
30,1996,42.71,47.76,51.13,55.17,59.74,66.88,78.0,74.48,66.43,58.6,50.0,42.48,57.78,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
31,1997,42.92,46.48,51.21,54.0,64.72,65.66,72.81,73.48,67.02,55.58,50.1,40.71,57.06,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
32,1998,43.74,43.15,49.95,52.23,55.26,67.09,75.67,75.91,71.46,56.58,47.2,38.82,56.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
33,1999,41.44,41.02,47.0,51.98,60.13,66.62,72.57,73.1,68.41,59.03,51.28,40.97,56.13,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
34,2000,43.65,47.1,48.87,57.21,61.45,70.97,71.71,73.92,67.56,57.93,44.61,41.95,57.24,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
35,2001,40.57,41.98,52.48,51.21,66.21,67.03,74.29,74.62,69.68,60.19,49.25,41.55,57.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
36,2002,41.4,46.39,47.38,56.2,59.66,67.59,77.22,73.88,70.35,57.43,47.58,43.27,56.43,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
37,2003,47.43,45.96,50.41,48.73,59.31,69.37,76.39,73.18,69.08,59.73,44.58,43.64,57.32,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
38,2004,41.77,44.95,54.27,54.91,61.21,68.27,76.11,74.58,66.42,57.58,46.43,41.68,57.35,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
39,2005,42.42,47.05,51.32,52.47,59.26,62.17,75.37,74.97,64.91,56.02,46.31,42.55,56.23,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
40,2006,41.56,44.59,43.27,52.93,62.05,69.03,76.34,72.07,64.95,55.85,47.25,40.63,55.88,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
41,2007,37.31,43.75,51.71,53.86,61.66,66.43,74.83,73.16,66.47,54.16,48.03,38.63,55.83,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
42,2008,38.2,42.93,47.12,50.41,61.35,64.86,71.0,73.05,69.63,57.3,49.52,38.03,55.28,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
43,2009,41.47,43.55,47.85,53.79,62.38,67.13,74.23,73.0,70.17,55.45,45.5,38.65,56.1,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
44,2010,45.18,47.23,48.3,50.21,54.2,64.72,75.12,,68.9,,45.38,44.08,49.91,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
45,2011,42.45,43.44,45.72,51.39,55.92,66.13,70.92,72.88,70.0,56.93,46.46,38.91,54.68,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
46,2012,40.9,,44.84,54.86,61.02,63.07,70.35,75.4,68.48,,49.38,40.81,56.91,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
47,2013,39.1,43.96,52.63,56.58,61.08,68.93,78.02,72.55,66.72,53.43,45.57,33.4,56.0,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
48,2014,41.31,46.34,51.52,54.98,61.66,67.29,77.84,75.13,70.2,59.76,48.94,46.87,58.49,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
49,2015,44.84,50.25,55.05,54.8,63.43,73.58,75.13,71.77,65.38,61.39,44.12,40.27,58.34,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
50,2016,42.98,48.09,50.03,57.63,61.56,,,,,,50.02,38.7,49.86,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
51,1966,,,,,,,,,,68.27,58.97,54.35,60.53,41194,t,BURBANK V,6,34 11 00,-118 21 00
52,1967,53.37,58.7,57.98,53.43,66.18,65.92,76.76,80.26,74.68,69.82,62.61,51.21,64.24,41194,t,BURBANK V,6,34 11 00,-118 21 00
53,1968,53.56,60.36,60.55,62.43,66.0,70.15,76.02,73.82,73.23,66.28,59.95,51.19,64.32,41194,t,BURBANK V,6,34 11 00,-118 21 00
54,1969,54.97,51.88,56.63,61.57,66.71,66.83,75.35,78.47,73.85,64.4,61.02,55.48,63.93,41194,t,BURBANK V,6,34 11 00,-118 21 00
55,1970,54.45,58.64,59.19,59.48,67.08,70.73,76.63,76.85,71.42,63.97,59.3,52.18,64.16,41194,t,BURBANK V,6,34 11 00,-118 21 00
56,1971,53.9,56.25,57.69,59.03,62.18,68.57,75.52,78.63,74.37,64.82,56.78,49.33,63.09,41194,t,BURBANK V,6,34 11 00,-118 21 00
57,1972,52.08,57.03,62.89,62.03,66.58,71.55,77.63,76.74,72.2,64.79,56.85,52.8,64.43,41194,t,BURBANK V,6,34 11 00,-118 21 00
58,1973,51.37,56.09,53.77,61.65,66.68,73.03,73.88,74.77,69.0,66.74,55.93,54.84,63.15,41194,t,BURBANK V,6,34 11 00,-118 21 00
59,1974,51.4,55.43,56.1,61.7,64.89,72.18,75.98,72.68,73.73,65.63,58.48,51.89,63.34,41194,t,BURBANK V,6,34 11 00,-118 21 00
60,1975,54.61,54.66,56.13,55.64,64.26,67.37,74.0,73.42,74.22,65.55,58.03,54.66,62.71,41194,t,BURBANK V,6,34 11 00,-118 21 00
61,1976,56.23,55.28,,58.02,66.98,73.28,75.28,73.73,73.1,69.31,62.72,54.82,65.34,41194,t,BURBANK V,6,34 11 00,-118 21 00
62,1977,54.6,60.48,55.13,62.53,61.6,70.68,75.9,76.18,71.47,67.76,62.38,55.05,64.48,41194,t,BURBANK V,6,34 11 00,-118 21 00
63,1978,53.26,54.62,59.35,57.48,68.56,73.97,76.3,74.9,74.28,70.5,55.98,49.84,64.09,41194,t,BURBANK V,6,34 11 00,-118 21 00
64,1979,50.05,53.96,57.94,62.93,,73.35,75.69,74.52,78.88,68.11,59.48,57.42,64.76,41194,t,BURBANK V,6,34 11 00,-118 21 00
65,1980,55.92,58.96,56.64,62.6,62.74,70.77,78.23,75.79,71.47,68.56,60.66,58.67,65.85,41194,t,BURBANK V,6,34 11 00,-118 21 00
66,1981,57.9,60.71,58.45,64.3,67.52,77.14,76.52,77.63,73.45,65.77,60.98,57.89,66.59,41194,t,BURBANK V,6,34 11 00,-118 21 00
67,1982,52.89,59.0,56.48,61.63,65.6,66.18,76.23,77.65,74.28,68.7,56.68,53.76,64.09,41194,t,BURBANK V,6,34 11 00,-118 21 00
68,1983,56.95,57.25,57.79,59.17,66.52,69.77,75.58,78.57,78.0,70.27,59.22,55.24,65.36,41194,t,BURBANK V,6,34 11 00,-118 21 00
69,1984,57.65,57.77,62.33,63.5,71.82,71.7,79.73,78.55,81.67,66.4,57.08,52.47,66.72,41194,t,BURBANK V,6,34 11 00,-118 21 00
70,1985,51.68,55.16,54.74,64.16,65.34,72.84,78.52,76.06,70.98,67.34,56.68,56.5,61.46,41194,t,BURBANK V,6,34 11 00,-118 21 00
71,1986,59.88,57.8,61.3,62.64,67.48,70.6,72.73,76.24,67.41,66.27,62.64,54.89,64.85,41194,t,BURBANK V,6,34 11 00,-118 21 00
72,1987,52.73,56.52,58.1,65.26,67.62,69.88,70.71,73.06,74.33,70.84,59.59,51.04,61.61,41194,t,BURBANK V,6,34 11 00,-118 21 00
73,1988,54.8,60.37,62.32,63.13,66.91,68.79,76.65,74.54,72.65,69.25,59.63,54.9,64.32,41194,t,BURBANK V,6,34 11 00,-118 21 00
74,1989,53.26,54.35,62.07,67.3,66.28,70.42,76.13,73.59,74.39,67.29,62.98,57.47,64.06,41194,t,BURBANK V,6,34 11 00,-118 21 00
75,1990,55.55,55.4,59.55,64.38,66.38,74.45,78.72,74.81,75.46,70.15,61.96,52.44,60.06,41194,t,BURBANK V,6,34 11 00,-118 21 00
76,1991,55.81,61.42,54.5,63.38,63.59,67.69,72.83,74.71,75.76,71.33,62.96,56.1,66.58,41194,t,BURBANK V,6,34 11 00,-118 21 00
77,1992,56.57,59.37,58.68,67.42,68.81,70.74,76.83,80.36,76.29,69.12,61.35,51.6,64.68,41194,t,BURBANK V,6,34 11 00,-118 21 00
78,1993,54.38,54.79,62.92,66.56,68.68,72.58,72.71,75.02,75.18,,60.92,54.97,66.18,41194,t,BURBANK V,6,34 11 00,-118 21 00
79,1994,58.15,55.95,62.35,62.88,63.32,73.98,74.48,80.5,75.46,65.4,53.86,54.27,65.05,41194,t,BURBANK V,6,34 11 00,-118 21 00
80,1995,53.26,61.24,58.43,61.28,61.32,66.87,75.18,76.61,74.7,67.95,62.98,55.73,64.63,41194,t,BURBANK V,6,34 11 00,-118 21 00
81,1996,55.41,57.93,57.77,65.03,67.29,70.98,75.67,76.81,72.83,66.39,60.09,56.94,66.61,41194,t,BURBANK V,6,34 11 00,-118 21 00
82,1997,55.24,58.62,61.94,63.76,71.1,69.97,72.34,76.32,77.56,66.57,61.66,54.45,66.45,41194,t,BURBANK V,6,34 11 00,-118 21 00
83,1998,55.64,52.61,58.43,58.28,60.45,65.72,75.25,78.27,72.3,65.0,58.46,55.23,63.91,41194,t,BURBANK V,6,34 11 00,-118 21 00
84,1999,56.46,55.24,54.18,55.9,62.67,66.62,72.96,73.52,70.17,71.57,61.0,57.14,64.68,41194,t,BURBANK V,6,34 11 00,-118 21 00
85,2000,55.29,55.06,57.5,63.17,67.0,71.04,73.24,77.1,72.69,,57.12,58.3,64.43,41194,t,BURBANK V,6,34 11 00,-118 21 00
86,2001,52.76,52.66,58.95,58.04,68.28,71.68,72.03,74.9,72.54,68.34,60.62,53.57,63.7,41194,t,BURBANK V,6,34 11 00,-118 21 00
87,2002,54.84,57.7,57.81,59.29,63.19,69.62,73.98,72.52,74.2,62.65,62.55,54.14,63.54,41194,t,BURBANK V,6,34 11 00,-118 21 00
88,2003,62.55,55.54,60.34,,65.78,67.14,76.84,78.02,,71.53,57.0,54.64,64.94,41194,t,BURBANK V,6,34 11 00,-118 21 00
89,2004,55.71,54.57,64.8,63.83,67.98,69.21,73.95,73.21,74.84,63.67,56.82,55.83,64.53,41194,t,BURBANK V,6,34 11 00,-118 21 00
90,2005,55.88,56.71,59.81,61.25,66.68,67.38,75.39,75.41,69.1,65.71,62.47,57.62,64.45,41194,t,BURBANK V,6,34 11 00,-118 21 00
91,2006,55.69,57.3,53.05,57.83,65.94,73.86,80.32,73.71,72.31,63.37,63.13,56.15,64.62,41194,t,BURBANK V,6,34 11 00,-118 21 00
92,2007,53.83,57.0,61.18,61.31,64.5,69.55,74.8,76.38,70.02,67.28,61.42,53.24,66.5,41194,t,BURBANK V,6,34 11 00,-118 21 00
93,2008,51.65,55.5,,61.17,64.11,71.85,74.05,75.26,73.85,70.23,62.43,52.91,69.64,41194,t,BURBANK V,6,34 11 00,-118 21 00
94,2009,59.06,54.17,58.65,61.0,67.1,65.81,74.93,72.8,76.5,65.85,61.25,53.29,66.51,41194,t,BURBANK V,6,34 11 00,-118 21 00
95,2010,57.15,56.02,59.15,57.67,61.77,68.23,70.74,72.04,72.56,65.32,58.5,56.7,66.29,41194,t,BURBANK V,6,34 11 00,-118 21 00
96,2011,57.5,51.91,58.04,64.33,62.42,65.82,72.5,74.59,72.06,67.14,57.59,52.13,62.95,41194,t,BURBANK V,6,34 11 00,-118 21 00
97,2012,57.37,55.31,56.74,61.52,65.55,68.12,72.32,78.98,77.18,68.52,61.03,53.31,64.66,41194,t,BURBANK V,6,34 11 00,-118 21 00
98,2013,54.21,54.39,61.31,63.38,67.79,70.88,73.44,74.76,73.88,64.32,61.55,55.66,64.63,41194,t,BURBANK V,6,34 11 00,-118 21 00
99,2014,59.66,58.96,61.11,64.45,69.6,70.62,76.15,75.77,76.85,70.29,63.57,56.47,66.96,41194,t,BURBANK V,6,34 11 00,-118 21 00
100,2015,57.94,61.8,65.98,63.1,63.02,72.57,73.92,77.03,77.47,73.27,59.67,53.56,67.4,41194,t,BURBANK V,6,34 11 00,-118 21 00
101,2016,54.63,62.64,61.37,64.12,63.76,73.27,76.08,75.42,73.2,68.19,63.57,55.66,65.99,41194,t,BURBANK V,6,34 11 00,-118 21 00
102,1966,1.35,1.4,1.16,0.05,0.07,0.22,0.39,0.19,0.2,0.46,0.83,,6.32,41424,p,CAMPO    ,6,32 37 24,-116 28 22
103,1967,1.42,0.0,1.03,3.54,0.48,0.06,0.34,0.49,0.82,0.0,3.65,4.23,16.06,41424,p,CAMPO    ,6,32 37 24,-116 28 22
104,1968,0.58,0.73,2.19,0.85,0.28,0.03,1.88,0.06,0.0,0.05,0.72,1.66,9.03,41424,p,CAMPO    ,6,32 37 24,-116 28 22
105,1969,8.3,5.67,1.96,0.1,0.43,0.12,0.01,0.0,0.2,0.02,1.85,0.26,18.92,41424,p,CAMPO    ,6,32 37 24,-116 28 22
106,1970,0.85,0.96,3.95,1.18,0.0,0.03,0.03,2.66,0.08,0.12,1.28,2.66,13.8,41424,p,CAMPO    ,6,32 37 24,-116 28 22
107,1971,1.12,1.22,0.4,1.46,0.67,0.0,0.07,1.0,0.25,1.18,0.05,3.6,11.02,41424,p,CAMPO    ,6,32 37 24,-116 28 22
108,1972,0.0,0.18,0.0,0.24,0.14,0.31,0.0,0.04,0.14,1.87,2.6,2.55,8.07,41424,p,CAMPO    ,6,32 37 24,-116 28 22
109,1973,1.7,3.13,5.24,0.29,0.09,0.0,0.0,0.09,0.0,0.05,1.69,0.11,12.39,41424,p,CAMPO    ,6,32 37 24,-116 28 22
110,1974,4.29,0.07,1.24,0.24,0.16,0.0,1.28,0.13,0.31,2.32,0.39,1.24,11.67,41424,p,CAMPO    ,6,32 37 24,-116 28 22
111,1975,0.4,1.02,3.4,1.58,0.11,0.12,0.09,0.0,0.18,0.07,2.15,0.63,9.75,41424,p,CAMPO    ,6,32 37 24,-116 28 22
112,1976,0.07,5.47,1.81,1.85,0.06,0.0,0.61,0.0,2.85,0.24,1.02,0.76,14.74,41424,p,CAMPO    ,6,32 37 24,-116 28 22
113,1977,3.1,0.35,0.85,0.19,1.15,0.0,0.0,1.18,0.0,0.88,0.25,,7.95,41424,p,CAMPO    ,6,32 37 24,-116 28 22
114,1978,7.79,5.38,5.45,1.48,0.53,0.0,0.0,0.01,0.16,0.06,3.05,4.45,28.36,41424,p,CAMPO    ,6,32 37 24,-116 28 22
115,1979,3.99,1.95,4.88,0.03,0.19,0.0,0.0,0.16,0.04,0.82,0.26,0.69,13.01,41424,p,CAMPO    ,6,32 37 24,-116 28 22
116,1980,11.82,8.82,3.72,1.87,0.8,0.0,0.55,0.0,0.0,0.28,0.0,0.54,28.4,41424,p,CAMPO    ,6,32 37 24,-116 28 22
117,1981,0.91,2.64,4.22,0.8,0.1,0.0,0.05,0.03,0.31,0.19,1.35,0.03,10.63,41424,p,CAMPO    ,6,32 37 24,-116 28 22
118,1982,5.14,2.15,4.3,0.82,0.12,0.0,0.33,0.56,0.37,0.13,4.42,3.44,21.78,41424,p,CAMPO    ,6,32 37 24,-116 28 22
119,1983,2.23,4.82,9.92,2.23,0.19,0.0,0.01,4.05,0.68,1.16,2.45,3.2,30.94,41424,p,CAMPO    ,6,32 37 24,-116 28 22
120,1984,0.12,0.0,0.04,0.24,0.0,0.55,1.51,2.29,0.67,0.18,1.43,4.25,11.28,41424,p,CAMPO    ,6,32 37 24,-116 28 22
121,1985,,1.59,1.46,0.27,0.04,0.09,1.74,0.0,0.33,0.69,4.53,1.76,12.5,41424,p,CAMPO    ,6,32 37 24,-116 28 22
122,1986,0.75,3.53,3.47,0.28,0.01,0.0,0.35,0.06,1.32,2.12,0.57,0.72,13.18,41424,p,CAMPO    ,6,32 37 24,-116 28 22
123,1987,1.66,2.55,2.58,0.2,0.08,0.01,0.0,0.65,0.48,3.13,2.48,1.82,15.64,41424,p,CAMPO    ,6,32 37 24,-116 28 22
124,1988,3.49,1.94,0.72,2.48,0.36,0.0,0.02,1.65,0.0,0.0,1.08,2.12,13.86,41424,p,CAMPO    ,6,32 37 24,-116 28 22
125,1989,1.05,1.18,1.65,0.21,0.13,0.0,0.0,0.0,0.17,0.36,0.03,0.29,5.07,41424,p,CAMPO    ,6,32 37 24,-116 28 22
126,1990,3.06,1.78,0.7,0.99,0.23,0.22,0.11,0.18,0.62,0.04,0.56,1.3,9.79,41424,p,CAMPO    ,6,32 37 24,-116 28 22
127,1991,1.35,2.23,12.18,0.05,0.0,0.0,0.62,0.0,0.35,0.58,0.3,2.83,20.49,41424,p,CAMPO    ,6,32 37 24,-116 28 22
128,1992,3.24,5.05,4.94,0.68,0.23,0.0,0.75,2.05,0.0,0.24,0.06,4.04,21.28,41424,p,CAMPO    ,6,32 37 24,-116 28 22
129,1993,18.61,6.51,1.53,0.0,0.12,0.16,0.0,0.0,0.0,0.3,1.49,1.16,29.88,41424,p,CAMPO    ,6,32 37 24,-116 28 22
130,1994,1.7,4.14,3.14,1.35,0.0,0.0,0.0,1.22,0.0,0.19,0.68,0.97,13.39,41424,p,CAMPO    ,6,32 37 24,-116 28 22
131,1995,10.12,3.28,6.63,1.26,1.1,0.48,0.06,0.64,0.28,0.0,0.08,0.57,24.5,41424,p,CAMPO    ,6,32 37 24,-116 28 22
132,1996,1.54,3.2,2.76,0.53,0.07,0.0,0.0,0.07,0.03,1.56,0.92,1.98,12.66,41424,p,CAMPO    ,6,32 37 24,-116 28 22
133,1997,4.33,1.53,0.02,0.22,0.0,,,0.07,1.93,0.16,1.75,4.21,14.22,41424,p,CAMPO    ,6,32 37 24,-116 28 22
134,1998,1.6,10.37,4.4,2.35,1.17,0.02,0.1,0.2,0.2,0.03,1.17,1.42,23.03,41424,p,CAMPO    ,6,32 37 24,-116 28 22
135,1999,1.66,0.83,0.62,3.31,0.0,0.46,0.36,0.0,0.14,0.0,0.0,0.21,7.59,41424,p,CAMPO    ,6,32 37 24,-116 28 22
136,2000,0.75,4.2,1.47,0.46,0.0,0.21,0.0,0.13,0.3,0.65,0.39,0.04,8.6,41424,p,CAMPO    ,6,32 37 24,-116 28 22
137,2001,2.92,4.12,1.76,1.45,0.03,0.0,0.12,0.0,0.24,0.0,1.11,1.02,12.77,41424,p,CAMPO    ,6,32 37 24,-116 28 22
138,2002,0.4,0.12,1.12,0.39,0.0,0.0,0.19,0.0,1.16,0.03,1.04,1.86,6.28,41424,p,CAMPO    ,6,32 37 24,-116 28 22
139,2003,0.18,4.09,2.2,1.55,0.91,0.0,1.93,1.49,0.38,0.0,0.55,1.26,14.54,41424,p,CAMPO    ,6,32 37 24,-116 28 22
140,2004,0.68,4.45,0.66,1.33,0.0,0.0,0.14,0.01,0.0,8.59,1.08,4.74,21.68,41424,p,CAMPO    ,6,32 37 24,-116 28 22
141,2005,5.17,4.89,1.6,0.58,0.04,0.0,0.47,2.53,0.01,0.62,0.11,0.0,16.02,41424,p,CAMPO    ,6,32 37 24,-116 28 22
142,2006,0.99,1.3,,2.25,0.22,0.16,0.52,0.03,0.07,0.36,0.17,1.19,7.26,41424,p,CAMPO    ,6,32 37 24,-116 28 22
143,2007,0.75,3.08,0.22,0.77,0.04,0.0,0.18,,,0.17,0.32,2.68,8.21,41424,p,CAMPO    ,6,32 37 24,-116 28 22
144,2008,7.29,2.45,0.51,0.0,0.26,0.0,0.0,1.35,0.0,0.0,1.8,6.2,19.86,41424,p,CAMPO    ,6,32 37 24,-116 28 22
145,2009,0.2,3.7,0.09,0.24,0.0,0.03,0.0,0.0,0.03,0.03,0.7,4.86,9.88,41424,p,CAMPO    ,6,32 37 24,-116 28 22
146,2010,6.6,5.13,1.37,2.35,0.0,0.0,0.07,0.0,0.08,3.22,1.19,8.22,28.23,41424,p,CAMPO    ,6,32 37 24,-116 28 22
147,2011,0.48,6.05,2.19,0.59,0.72,0.0,0.22,1.28,0.22,0.64,3.39,1.62,17.4,41424,p,CAMPO    ,6,32 37 24,-116 28 22
148,2012,0.73,2.01,2.88,2.85,0.0,0.0,0.39,0.67,0.59,0.37,0.59,2.74,13.82,41424,p,CAMPO    ,6,32 37 24,-116 28 22
149,2013,2.29,1.52,1.78,0.02,0.52,0.0,0.27,0.15,2.34,1.16,0.87,0.78,11.7,41424,p,CAMPO    ,6,32 37 24,-116 28 22
150,2014,0.12,1.52,1.27,1.08,0.01,0.0,0.18,0.56,0.57,0.0,0.38,4.15,9.84,41424,p,CAMPO    ,6,32 37 24,-116 28 22
151,2015,0.48,1.07,1.74,0.44,2.61,0.69,0.46,0.02,0.76,1.09,1.04,2.03,12.43,41424,p,CAMPO    ,6,32 37 24,-116 28 22
152,2016,4.3,0.82,1.05,1.9,0.19,0.0,0.0,0.0,1.13,0.1,1.2,4.87,15.56,41424,p,CAMPO    ,6,32 37 24,-116 28 22
153,1966,48.75,50.18,57.38,63.38,67.34,73.2,78.23,80.44,74.39,65.87,57.38,52.46,64.08,42805,t,ELSINORE ,6,33 40 00,-117 20 00
154,1967,51.84,55.59,56.45,51.23,63.6,66.47,79.21,83.39,,69.21,60.62,48.97,59.33,42805,t,ELSINORE ,6,33 40 00,-117 20 00
155,1968,50.85,58.29,57.37,60.18,66.07,71.75,79.43,76.41,72.38,66.28,59.31,48.74,63.92,42805,t,ELSINORE ,6,33 40 00,-117 20 00
156,1969,54.03,49.79,53.41,60.43,67.52,68.54,78.74,82.66,77.0,61.61,59.48,52.82,63.84,42805,t,ELSINORE ,6,33 40 00,-117 20 00
157,1970,51.48,55.9,55.24,57.41,66.55,72.96,82.91,,74.11,64.36,57.06,49.35,60.29,42805,t,ELSINORE ,6,33 40 00,-117 20 00
158,1971,51.13,51.52,56.48,59.15,62.2,75.09,80.06,81.98,77.89,60.12,54.12,45.46,60.0,42805,t,ELSINORE ,6,33 40 00,-117 20 00
159,1972,48.8,54.0,61.78,61.27,64.83,72.85,80.42,77.43,73.97,63.44,55.83,49.89,60.59,42805,t,ELSINORE ,6,33 40 00,-117 20 00
160,1973,47.77,52.16,50.85,58.92,67.84,73.1,75.73,77.18,69.97,64.89,53.18,50.97,60.86,42805,t,ELSINORE ,6,33 40 00,-117 20 00
161,1974,49.69,52.19,55.68,59.63,65.66,74.52,78.96,76.91,77.52,63.79,56.86,48.38,62.4,42805,t,ELSINORE ,6,33 40 00,-117 20 00
162,1975,50.5,49.94,52.98,52.77,62.02,72.07,79.0,73.56,,,,54.06,52.05,42805,t,ELSINORE ,6,33 40 00,-117 20 00
163,1976,,52.93,57.53,58.5,,79.0,77.68,77.07,72.58,66.43,62.13,53.17,56.44,42805,t,ELSINORE ,6,33 40 00,-117 20 00
164,1977,52.36,58.23,52.23,62.27,61.55,75.88,81.09,81.33,74.04,71.45,61.53,58.24,64.44,42805,t,ELSINORE ,6,33 40 00,-117 20 00
